,Locality,Latitude,Longitude
0,Whitefield,12.9698196,77.7499721
1,Rajarajeshwari Nagar,12.9148603,77.5206395
2,Yelahanka,13.1154662,77.6069977
3,Varthur,12.9388787,77.7412047
4,Hebbal,13.0353557,77.5987874
5,Marathahalli,12.956924,77.701127
6,HSR Layout,12.9121181,77.6445548
7,Yeshwanthpur,13.0250302,77.5340242
8,Uttarahalli,12.9069823,77.552059
9,Bellandur,12.9304278,77.678404
10,Hoodi,12.9895552,77.7126571
11,CV Raman Nagar,12.9793254,77.6641841
12,Ulsoor,12.9817001,77.6284152
13,BTM Layout,12.9165757,77.6101163
14,Koramangala,12.9351929,77.6244807
15,Arekere,12.8873875,77.5968866
16,Kengeri,12.8996676,77.4826837
17,Horamavu,13.0326328,77.6583345
18,Begur,12.8787673,77.6376676
19,Electronic City,12.8452145,77.6601695
20,Domlur,12.9609857,77.6387316
21,Hulimavu,12.8718155,77.6021817
22,Nandini Layout,13.0136616,77.5339379
23,Kammanahalli,13.0159044,77.6378619
24,Mahalakshmi Layout,13.0145937,77.5514047
25,Padmanabhanagar,12.9155691,77.5567733
26,Banashankari,12.9254533,77.546757
27,Lingarajapuram,13.0130399,77.626179
28,HBR Layout,13.0353236,77.6284701
29,Peenya,13.0285133,77.5196763
30,Nagarbhavi,12.9719321,77.512749
31,Gottigere,12.856443,77.5888448
32,Mahadevapura,12.9879659,77.6895248
33,Ramamurthy Nagar,13.0084887,77.6737028
